name,yahoo_ticker,isin,country,exchange,sector,enabled
Moment Group,MOMENT.ST,,SE,OMXS-FN,Industrials,true
Xspray Pharma,XSPRAY.ST,,SE,OMXS-FN,Healthcare,true
Stillfront,SF.ST,,SE,OMXS-FN,Consumer Discretionary,true
AcadeMedia,ACAD.ST,,SE,OMXS-FN,Consumer Discretionary,true
Dedicare,DEDI.ST,,SE,OMXS-FN,Industrials,true
Acast,ACAST.ST,,SE,OMXS-FN,Technology,true
Instalco,INSTAL.ST,,SE,OMXS,Industrials,true
Cellavision,CEVI.ST,,SE,OMXS,Healthcare,true
Duni,DUNI.ST,,SE,OMXS,Consumer Staples,true
Alm. Brand,ALMB.CO,,DK,OMXC,Financials,true
Komplett,KOMPL.OL,,NO,OSLO,Consumer Discretionary,true
Stolt-Nielsen,SNI.OL,,NO,OSLO,Industrials,true
Selvaag Bolig,SBO.OL,,NO,OSLO,Real Estate,true
Atea,ATEA.OL,,NO,OSLO,Technology,true
Vistin Pharma,VISTN.OL,,NO,OSLO,Healthcare,true
Nekkar,NKR.OL,,NO,OSLO,Industrials,true
Cloudberry Clean Energy,CLOUD.OL,,NO,OSLO,Energy,true
Aker Horizons,AKH.OL,,NO,OSLO,Energy,false
A.P. Moller - Maersk A,MAERSK-A.CO,,DK,OMXC,Industrials,true
Bang & Olufsen,BO.CO,,DK,OMXC,Consumer Discretionary,true
Boozt,BOOZT-DKK.CO,,DK,OMXC,Consumer Discretionary,true
Brdr. Hartmann,HART.CO,,DK,OMXC,Materials,false
ChemoMetec,CHEMM.CO,,DK,OMXC,Health Care,true
D/S Norden,DNORD.CO,,DK,OMXC,Industrials,true
HusCompagniet,HUSCO.CO,,DK,OMXC,Consumer Discretionary,true
NTG Nordic Transport Group,NTG.CO,,DK,OMXC,Industrials,true
Nilfisk Holding,NLFSK.CO,,DK,OMXC,Industrials,false
Per Aarsleff B,PAAL-B.CO,,DK,OMXC,Industrials,true
Ringkjoebing Landbobank,RILBA.CO,,DK,OMXC,Financials,true
Scandinavian Tobacco Group,STG.CO,,DK,OMXC,Consumer Staples,true
Schouw & Co,SCHO.CO,,DK,OMXC,Industrials,true
Solar B,SOLAR-B.CO,,DK,OMXC,Industrials,true
Spar Nord Bank,SPNO.CO,,DK,OMXC,Financials,false
Sydbank,SYDB.CO,,DK,OMXC,Financials,false
Tivoli,TIV.CO,,DK,OMXC,Consumer Discretionary,true
Afry,AFRY.HE,,FI,OMXH,Industrials,false
